What kind of place would you like Casey to be in 2041?,If you had the power to change just one thing in the City of Casey what would it be?,What three words would you use to describe your Vision for the City of Casey?,,,What's most important to you?,Other,What is your suburb?,Postcode,Ward,What is your age?,What is your Gender
a safer place for families and better public school education,encouraging multicultral and multiple langauages in public schools,Safe,Cultural,Education,,,narre warren,3805,springfield,39-48,Female
happier place,rugby fields,Happy,Sport,Beautiful,,,casey,,unknown,49-58,Female
not much more development I like connection to nature,nothing that’s why I live here,Nature,Shops,Food,,,narre warren,3805,springfield,39-48,Male
new city of australia,traffic speed limit,Beautiful,,peace,,,endeavour hills,3802,four oaks,49-58,Male
the most peace full area & interesting for kids,more opportunties for education & business good transport system,Beautiful,peaceful,friendly,,,dandenong ,,visitor,29-38,Male
peace full more vibrant and welcoming place to live and grow children,more educational opportunties and one university meeting international standards,liveable,kids ,love,,,endeavour hills,3802,four oaks,,Male
upcoming modern City of Australia,there will be more places for entertainment,Beautiful,natural,quite,,,endeavour hills,3802,four oaks,19-28,male
more welcoming to the citizens of Casey,traffic speed limit should be lesser than now,welcoming,communication,safety,,,cranbourne ,3977,balla balla,29-38,Male
more friendly with the citizens,more rooms for the traffic & easy,welcoming,attractive,friendly,,,cranbourne ,3977,balla balla,29-38 ,Female
,public transport (train),punctuality,,,,,berwick,3806,edrington,29-38,Male
eco friendly and successful,giving the youth more opportunity,open-space,friendly,bushland,,,berwick,3806,edrington,39-48,Male
green and open more like E.Wanke Dr.,more outdoor festivals,getting there slowly,,,,,unknown,,unknown,68+,Female
Free and inclusive,roads build roads before build 3000 houses,free,safe,secure,,,cranbourne north,,mayfield,59-68,Male
"Lovable, green family oriented",a place which is the most liveable in world,love,case,respect,,,doveton ,3177,river gum,19-28,Male
I like Case to be clean and polution free environment,build better raods and pland more trees,Beautiful,pollution-free,loving,,,dandenong ,,visitor,29-38,Female
full of greenery,better transport system,Multicultural,livable,busy,,,dandenong ,,visitor,19-28,Male
A multicultural city where people will live with love and respect for each other,better roads with more capacity,harmony,nature,best city of vic,,,doveton ,3177,river gum,19-28,Male
understand public life,affordable council rates,,,,,,cranbourne east,3977,mayfield,29-38,Male
"environmentally friendly, less congested in peak hour, no more above-ground train crossings",make fountain gate parking lot safer and more parking spaces,friendly,orderly,happy,,,narre warren,3805,springfield,0-18,Female
more public transport to be available rates to be reasonable,I would like people to learn more about other backgrounds and culture. And more free parking,friendly,orderly,happy,,,hallam,3803,river gum,39-48,Female
"with a heart (cultural, multicultural cuisine) and safe",parking extended at fountain gate & bunjil free,safe,multicultural,welcoming,,,narre warren,3805,springfield,49-58,Female
more parking,basketball courts,fun,nice,sport,,,cranbourne ,3977,balla balla,19-28,Female
a tourism attraction,roads   ,friendly environment,multicultural,fresh-air,,,cranbourne ,3977,balla balla,19-28,Male
more clean,the muddy grounds,happy,clean,beautiful ,,,casey,,unknown,0-18,Male
first class facilities that reflect its culture of hard work = great people = a great place = classy,greater transparency over decisions that effect local land owners. No closed voting……/meetings.,safe,efficient,place-to-be,,,pearcedale,3912,balla balla,39-48,Female
peaceful,to be given the choice where shared accommodation developments are designated,community,special,blissful,,,cranbourne ,3977,balla balla,49-58,Female
easy access to places around,,forward-thinking,,,,,unknown,,unknown,59-68,Female
family ,,family-oriented,,,,,hallam,3803,river gum,39-48,Female
more police less crime,better roads,sustainable,client friendly,,,,lynbrook,3975,river gum,49-58,Female
relax leisure,,keeping,nature,place,,,casey,,unknown,49-58,Female
happy clean,,youth,clean,support,,,cranbourne ,3977,balla balla,29-38,
feel safe in the community,more parking,police,safe,,,,berwick,3806,edrington,59-68,Female
to feel safe in the community and,more access to parking,youth,safe,parks,,,cranbourne north,,mayfield,49-58,Female
friendly safe,more parking bays off the road in streets,safe,jobs,police,,,narre warren,3805,springfield,39-48,Female
beautiful / multicultural family friendly,"open Evans Road, more tree / low cost activities for under 2 year & families / get rid of smelly  dump site.",multicultural,inclusive,family-oriented,,,lynbrook,3975,river gum,29-38,Female
,more improvements to club grounds and facilities ,,,,,,narre warren,3805,springfield,39-48,Female
"a safe, community environment",lower rates,,,,,,narre warren,3805,springfield,29-38,Female
sporting facilities that draw people in from far away,more bike lanes,well known in City of Melbourne,,,,,Somerville,,visitor,0-18,Female
"a community minded, safe place to live",crime rate,safe,community,friendly ,,,cranbourne east,3977,mayfield,29-38,Female
a safe place to live with an open minded community,more funding support for the community,friendly,straight-forward,open-minded,,,cranbourne east,3977,mayfield,0-18,Female
Happy & healthy,equality in sport,interactive,positive,progressive,,,black rock,,visitor,49-58,Female
"Vibrant, lifestyle. Destination, me place to live and grow",more centres of excellence,opportunity,,,,,berwick,3806,edrington,49-58,Female
,better roads,better-roads,,,,,clyde north,,edrington,59-68,Female
happy friendly innovative,improved roads public transport,graffitti free,crime-free,in 25 yrs I'll be kicking up daisies anyway,,,cranbourne east,3977,mayfield,68+,Female
accountable councillors less high rise buildings more activities for hoods,to feel safer - control of gangs lower rates for residents of retirement village (as present pay full rates),confidence,safe,clean,,,clyde north,,edrington,68+,Female
"better roads, freeways & train services",cascades on clyde to be all clyde north not half and half,safe,cheaper-rates,,,,unknown,,unknown,68+,Female
community services greener better roads,stop the homeless stop hungry stop discriminiation,infrastructure,transport,,,,cranbourne ,3977,balla balla,49-58,male
vibrant safe innovative,improve infrastructure roads amenaties,livable,governance,hsopitable,,,berwick,3806,edrington,68+,Male
clean and green,stop the loss of ??? Growing land,dynamic,sustainable,mindful,,,yarra junction,,visitor,49-58,Female
much the same,more open spaces,positive,nature,happy,,,ranceby,,visitor,39-48,Female
sustainable housing keeping some rural feel,lower crime rate,keep the rural feel,Friendly,support for young people,,,beaconsfield,3807,edrington,49-58,Female
a safe & clean environment,crime rate maybe have neighbourhood watch,safe,clean,family friendly ,,,engadine,,visitor,68+,Female
more self sufficient (local jobs close by),transport crime,family-oriented,accessible,safe ,,,canterbury,,visitor,49-58,Female
a awesome place,traffic,safe,family-oriented,fun,,,cranbourne north,,mayfield,29-38,Male
family friendly  ,traffic,family-oriented,community ,schools,,,cranbourne north,,mayfield,29-38,Female
